Ticker,Name,Sector,Subsector,HQ,Added,CIK,Founded
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",6/5/00,1090872,1999
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/82,320193,1977
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",12/31/12,1551152,2013 (1888)
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",9/18/23,1559720,2008
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",3/4/57,1800,1888
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",11/1/22,947484,1995
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/11,1467373,1989
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",5/5/97,796343,1982
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",10/12/99,6281,1965
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",3/4/57,7084,1902
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",3/31/81,8670,1949
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",12/1/89,769397,1982
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/91,1002910,1902
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",3/4/57,4904,1906
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/98,874761,1981
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/99,4977,1955
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",3/31/80,5272,1919
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",4/10/07,1267238,1892
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",5/31/16,354190,1927
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/07,1086222,1998
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/16,915913,1994
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",6/19/17,1097149,1997
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",7/13/95,899051,1931
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",12/2/13,1579241,1908
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",3/16/95,6951,1967
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",6/7/19,1748790,2019 (1860)
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",3/20/17,2488,1969
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/13,1037868,1930
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1/2/92,318154,1980
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/05,820027,1894
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",11/19/07,1053507,1995
AMTM,Amentum,Industrials,Diversified Support Services,"Chantilly, Virginia",9/30/24,2011286,2020
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",11/18/05,1018724,1994
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",8/28/18,1596532,2004
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/17,1013462,1969
AON,Aon,Financials,Insurance Brokers,"London, UK",4/23/96,315293,1982 (1919)
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/17,91142,1916
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/97,1841666,1954
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",4/30/85,2969,1940
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/08,820313,1932
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",12/24/12,1521332,1994
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",3/20/17,1035443,1994
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2/15/19,731802,1906
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",1/10/07,915912,1978
AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",5/8/14,1730168,1961
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",12/31/87,8818,1990
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",3/4/16,1410636,1886
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",5/4/23,1069183,1993
AXP,American Express,Financials,Consumer Finance,"New York City, New York",6/30/76,4962,1850
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",1/2/97,866787,1979
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",3/4/57,12927,1916
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/76,70858,1998 (1923 / 1874)
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",10/31/84,9389,1880
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/72,10456,1931
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/99,764478,1966
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/72,10795,1897
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",4/30/98,38777,1947
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/82,14693,1870
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",3/15/23,1996862,1818
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/03,875045,1978
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",3/31/95,1390777,1784
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",11/6/09,1075531,1996
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/17,1701605,2017
BLDR,Builders FirstSource,Industrials,Building Products,"Irving, Texas",12/18/23,1316835,1998
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",4/4/11,1364742,1988
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",3/4/57,14272,1989 (1887)
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",6/18/18,1383312,1962
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/10,1067983,1839
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",9/20/21,79282,1939
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2/24/95,885725,1979
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan",12/19/11,908255,1880
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",9/18/23,1393818,1985
BXP,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts",4/3/06,1037540,1970
C,Citigroup,Financials,Diversified Banks,"New York City, New York",5/31/88,831001,1998
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/83,23217,1919
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/97,721371,1971
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",4/3/20,1783180,"2020 (1915, United Technologies spinoff)"
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",3/4/57,18230,1925
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/10,896159,1985
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/17,1374310,1973
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",11/10/06,1138118,1906
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",3/14/12,1051470,1994
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/98,815097,1972
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",9/18/17,813672,1988
CDW,CDW,Information Technology,Technology Distributors,"Vernon Hills, Illinois",9/23/19,1402057,1984
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",12/24/18,1306830,1918
CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",2/2/22,1868275,1999
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/08,1324404,1946
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",1/29/16,759944,1828
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/15,313927,1847
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/07,1043277,1905
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/16,1091667,1993
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",6/30/76,1739940,1982
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/97,20286,1950
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",3/4/57,21665,1806
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",3/31/69,21076,1913
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",11/19/02,1166691,1963
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/06,1156375,1848
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/11,1058090,1993
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",3/31/65,26172,1919
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",3/4/57,811156,1886
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",3/30/16,1071739,1984
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",7/31/85,1130310,1882
